Kecamatan,,,
,Jumlah Penduduk (Jiwa),,
,2016,2017,2018
Penjaringan,298700,298457,309278
Pademangan,160459,161322,166240
Tanjung Priok,392710,395022,409572
Koja,321011,322367,335326
Kelapa Gading,133319,136395,140735
Cilincing,400896,403028,420731
Jakarta Utara,1707095,1716591,1781882
